Frame:275 FPS:29.5449 iou:0.685799
Frame:276 FPS:30.0242 iou:0.724965
Frame:277 FPS:19.4532 iou:0.759249
Frame:278 FPS:21.3694 iou:0.717618
Frame:279 FPS:29.3214 iou:0.756966
Frame:280 FPS:31.814 iou:0.712142
Frame:281 FPS:31.3522 iou:0.694552
Frame:282 FPS:30.0964 iou:0.651616
Frame:283 FPS:18.9713 iou:0.687892
Frame:284 FPS:18.842 iou:0.545453
Frame:285 FPS:30.2715 iou:0.560616
Frame:286 FPS:31.3525 iou:0.59003
Frame:287 FPS:31.109 iou:0.6913
Frame:288 FPS:30.0645 iou:0.727731
Frame:289 FPS:18.9439 iou:0.70567
Frame:290 FPS:18.9921 iou:0.7244
Frame:291 FPS:29.9863 iou:0.685069
Frame:292 FPS:30.043 iou:0.658812
Frame:293 FPS:30.8936 iou:0.692398
Frame:294 FPS:30.0519 iou:0.665161
Frame:295 FPS:19.4149 iou:0.659332
Frame:296 FPS:20.2683 iou:0.709384
Frame:297 FPS:20.6957 iou:0.736816
Frame:298 FPS:21.1998 iou:0.736816
Frame:299 FPS:29.4167 iou:0.721228
Frame:300 FPS:29.525 iou:0.73539
Frame:301 FPS:18.7785 iou:0.664721
Frame:302 FPS:18.8403 iou:0.726389
Frame:303 FPS:29.7059 iou:0.724294
Frame:304 FPS:31.2371 iou:0.739393
Frame:305 FPS:31.0209 iou:0.712107
Frame:306 FPS:30.663 iou:0.712894
Frame:307 FPS:19.0085 iou:0.740032
Frame:308 FPS:19.0374 iou:0.681331
Frame:309 FPS:30.4482 iou:0.677152
Frame:310 FPS:31.5114 iou:0.707102
Frame:311 FPS:30.2731 iou:0.56585
Frame:312 FPS:29.9377 iou:0.612792
Frame:313 FPS:27.1708 iou:0.605727
Frame:314 FPS:25.3745 iou:0.5685
Frame:315 FPS:28.2869 iou:0.59426
Frame:316 FPS:30.525 iou:0.545921
Frame:317 FPS:30.0241 iou:0.575863
Frame:318 FPS:30.1179 iou:0.556243
Frame:319 FPS:18.8275 iou:0.569191
Frame:320 FPS:18.9784 iou:0.594123
